WKT,name
"LINESTRING (-94.687 38.887, -93.2916 37.1943)",Tyler
"LINESTRING (-93.2916 37.1943, -90.6791 35.8212)",Springfield
"LINESTRING (-90.6791 35.8212, -88.8354 35.6538)",Jonesboro
"LINESTRING (-89.9663 35.1087, -89.9786 34.9514)",Memphis
"LINESTRING (-89.9663 35.1087, -88.8354 35.6538)",Southaven
"LINESTRING (-89.9786 34.9514, -92.3577 34.7256)",Jackson
"LINESTRING (-90.2125 32.3157, -93.7955 32.4653)",Jackson
"LINESTRING (-92.3577 34.7256, -93.7955 32.4653)",Little Rock
"LINESTRING (-95.3062 32.3184, -96.2959 30.5852)",Shreveport
"LINESTRING (-97.7522 30.3005, -98.1148 29.6994)",Austin
"LINESTRING (-97.7522 30.3005, -97.7297 31.0753)",New Braunfels
"LINESTRING (-97.7297 31.0753, -99.7384 32.4543)",Killeen
"LINESTRING (-96.2959 30.5852, -95.3885 29.786)",College Station
"LINESTRING (-95.4824 30.3238, -95.3885 29.786)",Conroe
"LINESTRING (-98.5238 29.4632, -97.3767 27.7254)",Houston
"LINESTRING (-95.4824 30.3238, -94.1451 30.0849)",Corpus Christi
"LINESTRING (-92.0325 30.2082, -91.1311 30.442)",Lafayette
"LINESTRING (-91.1311 30.442, -90.7059 29.58)",Baton Rouge
"LINESTRING (-90.7059 29.58, -89.9288 30.0687)",Houma
"LINESTRING (-89.9288 30.0687, -89.0704 30.4274)",New Orleans
"LINESTRING (-89.0704 30.4274, -88.1162 30.6782)",Gulfport
"LINESTRING (-88.1162 30.6782, -90.2125 32.3157)",Mobile
"LINESTRING (-94.1451 30.0849, -92.0325 30.2082)",Beaumont
"LINESTRING (-87.9895 44.5148, -87.9675 43.0642)",Green Bay
"LINESTRING (-87.9675 43.0642, -87.8773 42.5865)",Milwaukee
"LINESTRING (-87.8773 42.5865, -89.393 43.0822)",Kenosha
"LINESTRING (-86.2562 43.2281, -85.6562 42.9619)",Muskegon
"LINESTRING (-85.6562 42.9619, -84.5601 42.7142)",Grand Rapids
"LINESTRING (-86.2562 43.2281, -83.9501 43.4199)",Kalamazoo
"LINESTRING (-83.9501 43.4199, -83.6921 43.0236)",Saginaw
